# auto-generated
# type           name                                     itype (1=data, -1=mc, 0=both)
Int_t           nPV                                          0
Int_t           nPVs                                         0
Int_t           nRich1Hits                                   0
Int_t           nRich2Hits                                   0
Int_t           nSPDHits                                     0
Int_t           nTTClusters                                  0
Int_t           nTTracks                                     0
Int_t           nTracks                                      0
Int_t           nUpstreamTracks                              0
Int_t           nVeloClusters                                0
Int_t           nVeloTracks                                  0
UInt_t          runNumber                                    0
ULong64_t       totCandidates                                0
